Name,Website,Level of operation,Country,latitude,longitude,Continent,Headquater,Start,Type (ILO),Typology,Sector (ILO definitions),Sub-category,Type of work,Size,Business model,Employment relationship,Payment,Working hours,Worker provisions,Quality assurance measures,Matching method,Disputes,Skill level (professional),Skill level (digital),Language,Contact,Founder
glance,https://glance.sg/,Country,Singapore,1.352083,103.819836,Asia,Singapore,2019,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Multi-sectoral freelancing,5000+ local talents,"Workers: freelancer
Platform: 1: submit enquiry, 2: a meeting with Glance to understand needs, 3: Glance gives a proposal, 4: A brand manager will be assigned to follow the work.",Independent contractor,-,-,-,A manager to follow the work,Hand matching,-,High,Intermediate,English,,
Outsized,outsized.com,Regional,"Asia, Africa, Middle east",29.2985278,42.5509603,Asia,"London, Mumbai, Delhi, Cape Town, Singapore",2015,Web-based,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,Short-term contract work,4000+ freelancers,"Workers: freelancer
Platform: 1. Freelancers are selected and required to have 3-15 years of work experience.
2. Freelancers are matched to projects through technology and human curation. Projects are typically several months fixed-term and freelancers work full-time for the project.
3. outsized manages contracting, invoicing and payments.",Project-based contract between workers and employers facilitated by the plattform,-,-,-,-,Hand matching,-,High,Intermediate,English,,
CreativeAtWork,https://www.creativesatwork.asia/,Country,Singapore,1.352083,103.819836,Asia,Singapore,2012,Web-based,Online marketplace with a threshold,"Media, culture, graphic",Multi-sectoral freelancing,"PR & Social media, writing, designing, video production, animation production, illustrations, marketing, web/app development",1500 freelancers,"Workers: freelancer
Platform: 1. Freelancers are selected and become a talent pool. 2. Once recieved project request, budget and schedule, they would match them to suitable freelancers and send the clients a list of profiles. 3. Clients choose the freelancers they are interested to work with and Creativeatwork will arrange for a phone call, email or face-to-face meetup for them to confirm the engagement.",Independent contractor,-,-,-,,Hand matching,-,High,Intermediate,English,,
Works,https://www.works.so/,Regional,"Singapore, Malaysia, South Korea, Taiwan and HK",4.210484,101.975766,Asia,Singapore,2019,Web-based,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,"Developer, designers, product manager",3000+ freelancers,"Workers: freelancer
Platform: 1. Freelancers are tested and vetted by the platform through a Talent Application process. Freelancers can work full-time, part-time or hourly on a project requested by clients. 2. Clients and experts are matched through AI matching technology. 3. Platform takes 10% from the clients",Independent contractor,-,-,-,-,Algorithmic matching ,-,High,Intermediate,English,,
VirtualStaff,https://www.virtualstaff.ph/,Country,Philippine,12.879721,121.774017,Asia,Philippine,2016,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"Adiministrative, etc.",thousands of jobs,"Workers: freelancer
Platform: For freelancers: create an account, search&apply for jobs, interview and get hired;
For employers: post jobs and invite workers to apply to the job post, massage candidates and send job offers, pay staff.
Employers can choose different packages of services: 99$/month, 349$/year
- they also  help with virtual staff recruitment for enterprises.",Independent contractor,-,-,-,-,Free choice,-,Medium,Intermediate,English,,
GoGet,https://goget.my/,Country,Malaysia,4.210484,101.975766,Asia,Malaysia,2014,Both,Situ intermediaries,Professional services,Personal service,Task-based from home care to data entry,450k+ users; 31k+ part timers,"Workers: freelancer 
Platform: It connects task finders to gig workers on hourly base or full-time. The platform calculates the cost of hiring a part timer by type of job and distance. There is a minimum fee per hour. Alternatively, clients can hire longer term with GoGet recruit job listing. job posters can choose from different plans of services.",Independent contractor,"Minumum pay set by the platform: Motorbike RM5, Car RM7, General helper jobs RM12 per job",-,-,Tracking,Free choice,-,Low,Basic,English,,
theKedua,https://www.thekedua.com/,Country,Malaysia,4.210484,101.975766,Asia,Malaysia,2018,Both,Online marketplace,Professional services,Multi-sectoral freelancing,"freelance designers, tutors, survey takers and more.","94 jobs, 11k+ beneficiaries","Workers: flexible workers for gig jobs
Platform: It connects workers to jobs either instant digital-based jobs or full-time jobs.",Independent contractor,-,-,-,-,-,-,High,Intermediate,English,,
Qwork,https://qwork.my/,Country,Malaysia & Indonesia,4.210484,101.975766,Asia,Malaysia,2016,Both,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,"Business support, operations, logistics, warehousing, creative, marketing, tech",20k gig workers and employers,"Workers: freelancer
Platform: Similar to GoGet, but Qwork proide training to educate their giggers regarding the work they will be doing, how to perform the gigs and their KPIs. The training manages the expectations of their stakeholders.
- Employers can choose from service plans (based on the skill levels of giggers they are looking for) of different charges to post jobs.
- Giggers can join Qwork Talent Incubator Program, which assists workers in stablising income by matching them with a career buddy, upskilling and apprenticeship opportunities.
- They have a Qwork Apprenticeship programme which provides companies with skilled and capable interns.
",Independent contractor,-,-,"Training (Qwork talent incubator program, Qwork apprenticeship program)

Community: qwork hub-community-led activities for workers to access information, advice and support.",-,-,-,Medium,Intermediate,English,,
Task2bid,https://task2bid.com/,Country,Malaysia,4.210484,101.975766,Asia,Malaysia,2020,Both,Situ marketplace,Personal services,Personal service,"Industries are wide: maintenance work, lifestyle related such as make-up artist, babysitting, pet sitting, school transporter, hairdresser. online services such as designing and data science.",18k+ gig workers; 20k+ users,"Workers: home service providers
Platform: It makes the community to find immediate help from the end-users. Tasks include cleaning, delivery, moving and many others.
-Task listing is free, but when successfully completed, a cerntain percentage starting from 10% which automatically changes based on an algorithm that weighs the task budget and risk factors will be applied. ",Independent contractor,-,-,Insurance (property damage),-,Free choice,-,Low,Basic,English & Malay,,
ServisHero,https://servishero.com/sg/en,Regional,Southeast Asia,-2.2179704,115.66283,Asia,"Lumpur, Malaysia",2015,Both,Situ intermediaries,Personal services,Personal service,"Gig work in general cleaning, air conditioning, electrical and wiring, plumbing, handyman service",-,"Workers: home service providers
Platform: Services are booked online with specific requirements and workers are assigned to specific tasks",Independent contractor,Set by the platform,-,-,-,Free choice,-,Low,Basic,"English, Thai",,
Recommend,https://www.recommend.my/,Country,Malaysia,4.210484,101.975766,Asia,Malaysia,2014,Location-based,Situ marketplace,Personal services,Personal service,"Home improvement, Repairs and maintenance, Cleaning & Disinfection, Events & Weddings",40K+ service providers,"Worker: freelancer
Platform: Clients post job requirements and get quotes from sevice providers for big projects and an assigned provider for fixed-priced project. Recommend uses algorithm to suggest the right service professional based on prior reviews and ratings, expertise, location, and availability. ",Independent contractor,-,-,-,-,Free choice,-,Medium,Basic,English,,
Staffinc,https://staffinc.co/,Country,Indonesia,-0.789275,113.921327,Asia," Jakarta Raya, Indonesia",2018,Both,Online marketplace with a threshold,Professional services,Multi-sectoral freelancing,"field force management, crowdsourcing, and market research",850k+ temparary and permanent workers,"Workers: freelancer
Platform: It connects businesses through their platform with selected and trained freelancers for easily doable task-based jobs that provides agents with temporary work. Three main products: 1) Manpower provides service where comapnies can hire workers for various positions while S handles the administrative process; 2) Solutions is a management service where S deploys its team to administer various business processes, from project planning to producing final reports. 3) Systems is a software-as-a-service (SaaS) product for workforce management, which covers performance trackers, attendance sheets, and customizable dashboards.",Independent contractor,-,-,-,Performance tracker,-,-,Medium,Intermediate,Indonesian,,
Job2Go,https://job2go.net/index,Country,Indonesia,-0.789275,113.921327,Asia," Jakarta Raya, Indonesia",2019,Both,Situ marketplace,Personal services,Personal service,"Full time, part-time and gig jobs in different industries",Operating in 34 cities in Indonesia,"Workers: blue collar workers
Platform: Job2Go is a digital platform connecting the grey/blue collar workforce with job opportunities, whether it is full time, part-time or gig-works based on their skill, experience and location. 
",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,Indonesian,,
WorkMate,https://www.workmate.asia/,Regional,Southeast Asia,-2.2179704,115.66283,Asia,"Bangkok, Thailand",2016,Location-based,Situ intermediaries,Personal services,Personal service,"shift-based work in Logistics, events, promotion, hospitality, manufacturing. and others such as sales",330k users,"Workers: flexible workers
Platform: -Services for employers: Staffing; enterprise solutions (end-to-end project delivery for outsourced business processes) and workforce management platforms.
- service for workers: being matched with flexible jobs. can pick the company, location and shift and switch them up based on schedule. Workmate will be workers' contractual employer.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,"English, Thai, Indonesian",,
GetPackage,https://getpackage.com,Country,Israel,31.046051,34.851612,Asia,"HaMerkaz, Israel",2016,Location-based,Situ intermediaries,Transport,Logistics/Courier,Last-mile delivery,75k users,"Workers: delivery persons
Platform: It connects businesses with couriers. Customers place delivery orders and these orders are sent to nearby available couriers through SaaS platform, a collaborative economy techonology. ",Independent contractor,-,-,-,Tracking,Algorithmic matching ,-,Low,Basic,English & Hebrew,,
Grab,https://www.grab.com/th/en/transport/taxi/,Regional,Southeast Asia,-2.2179704,115.66283,Asia,Singapore,2012,Location-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,"Ride-hailing, dispatching (food delivery, courier service)",the biggest technology startup in the region,"Workers: regarded as partners to the partform. Work as drivers (car, taxi, motocycle), delivery men taking on-demand gig jobs.
Platform: 1) Intermediary, connet service providers (drivers and delivery men to customers. 2) e-commerce platform, work with mart merchants.
",Independent contractor,-,-,-,Tracking,Algorithmic matching ,-,Low,Basic,English,,
Daraz,https://www.daraz.pk/,Country,Pakistan,30.375321,69.345116,Asia,"Punjab, Pakistan",2013,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,40k sellers,"Workers: Venders/sellers
Platform: Provide infrastructure, business support and e-commerce training to sellers. Registration for sellers is free. Commission fee is applicable when products are sold (a small percentage of commisssion from the payment of orders).",Independent contractor,-,-,Training (business support and e-commerce training for sellers),-,-,-,Medium,Intermediate,English,,
Careem,https://www.careem.com/,Regional,"Middle East, South Asia",29.2985278,42.5509603,Asia,"Dubai, United Arab Emirates",2012,Location-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,Ride-hailing and on-demand delivery services,operate in 50+ cities in 10 countries,"Workers: Drivers, Restaurant owners, delivery persons
Platform: It connects drivers with passengers, facilitate delivery services and payment; Drivers are called 'captain' and store owners are regarded as 'partners'. Captains are required to go through a screening process which may include drug tests, police reports, credit checks etc. Documents needed to be a captain include: driving license, national ID card, vehicle registration documents, insurance and profile picture. There is also a car inspection either by Careem or by a third party. Once registered as a captian and has profile reviewed, a training session will be provided before work starts. The Careem app now allows utilities to be paid, payment to be made to others and food delivery",Independent contractor,-,-,Training,Tracking,Algorithmic matching ,-,Low,Basic,English & Arabic,,
Foodpanda,https://www.foodpanda.com/,Regional,Asia,-,-,Asia,Singapore,2012,Location-based,Situ intermediaries,Transport,Logistics/Courier,Online food and grocery delivery ,400+ cities,"Workers: restaurants/grocery store owners, delivery persons
Platform: Provide on-demand delivery service.",Independent contractor,-,-,-,Tracking,Algorithmic matching ,-,Low,Basic,English,,
Freshippo,https://www.freshippo.com/,Country,China,35.86166,104.195397,Asia,"China, Shanghai ",2015,Both,Situ intermediaries,Transport,Logistics/Courier,"Online and offline fresh aquatic products, fruits and vegitables",,"Workers: delivery persons and partners
Platform: There are four types of partnerships: suppliers,  associate merchants, warehouse operators and platform suppliers. ",Independent contractor,-,-,-,Tracking,Algorithmic matching ,-,Low,Basic,Chinese,,
Kuaishou,https://www.kuaishou.com/en,Country,China,35.86166,104.195397,Asia,"Beijing, China",2011,Web-based,Social media (for income generation),Commerce,Online shopping,Content creating,350 million users,"Workers: Content creators
Platform: It is a platform where users can share short videos and do live streams. Users have several ways of generating income: 1) kuaishou shop, where users can post short videos on any products they sell on a third-party platform; 2) endorsements/ advertisement, once creators have accumulated a certain number of followers, they can receive endorsements from brands; 3) live-streaming: live-streamers can make money from fans in the form of virtual gifts.",-,-,-,-,-,Algorithmic matching ,-,Low,Basic,English and Chinese,,
Huya,https://www.huya.com/,Country,China,35.86166,104.195397,Asia,"Guangzhou, China",2014,Web-based,Social media (for income generation),Commerce,Online shopping,Content creating,200 million users,"Workers: Live-streamers
Platform: Live-streamers can do various live-stream and receive virtual gifts from their followers. The platform will take a certain proportion of the income from live-streamers.",Independent contractor,-,-,-,-,-,-,Low,Basic,Chinese,,
Kaokao,https://www.kakaomobility.com,Country,South Korea,35.907757,127.766922,Asia,"Seongnam, South Korea",2015,Location-based,Situ intermediaries,Transport,E-hailing,e-hailing and other transportation services,30 million users,"Workers: drivers
Platform: It provides a wide range of mobility services through its mobile-app platform including taxi-hailing, designated driver, electric bike hire, parking and navigation.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Basic,Korean,,
Yogiyo,"https://www.yogiyo.co.kr/mobile/#
",Country,South Korea,35.907757,127.766922,Asia,"Seoul, South Korea",2012,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food delivery,-,"Workers: delivery persons, restaurant owners
Platform: It provides food ordering and delivery services.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,Korean,,
youth4work,https://www.youth4work.com/,Country,India,20.593684,78.96288,Asia,"New Delhi, India",2012,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,pre-assessed talent-for-hire,2.9 million users,Platform: It is an assessments and skill based people profiling and acts as a marketplace for talents. Talents can take various tests on the website to showcase their skills. Employers can post jobs or contact with pre-assessed profiles.,Independent contractor,-,-,"Training (online courses)

Community (talent forum)",-,Free choice,-,Medium,Intermediate,English,,
Chegg India,https://www.cheggindia.com/,Country,India,20.593684,78.96288,Asia,"New Delhi, India",2005,Web-based,Online marketplace with a threshold,Education,Personal service,Subject experts answering questions asked by students,2.9 million subscribers,"Workers: experts
Platform: it is a platform where people can register as subject matter experts and get paid by answering questions asked by students. To register as an expert, people need to take an online subject and guidelines test and then get verified by the platform on their credentials. They can also join an expert network and attend meet-ups.",Independent contractor,-,-,Community (expert network and meet-ups),-,Free choice,-,High,Intermediate,English,,
Flexiport,https://www.theflexiport.com/,Country,India,20.593684,78.96288,Asia,"Mumbai, India",2014,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,Freelancers for short-term projects,62k professionals,"Workers: freelancers
Platform: It acts as a marketplace for talents. Employers can post jobs or message candidates and negotiate terms directly. Workers can post their profile and browse opportunities posted by employers. There is no commission fee from the workers. All jobs are full-time, part-time or consulting assignments that span beyond 90 days.",Independent contractor,-,-,-,-,Algorithmic matching ,-,High,Intermediate,English,,
Designhill,https://www.designhill.com/,Country,India,20.593684,78.96288,Asia,"New Delhi, India",2014,Web-based,Online marketplace with a threshold,"Media, culture, graphic",Specialised freelancing,Graphic design gigs,125k+ designers and artists,"Workers: designers and artists
Platform: It is a creative marketplace that caters to the creative needs of businesses of all sizes and individuals alike. It helps business owners crowdsource multiple design concepts, hire the best designers for one-to-one projects and offers millions of unique products created by world-class artists on the PrintShop Marketplace.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,English,,
Ilmosys Studio,https://studio.ilmosys.com/,Country,India,20.593684,78.96288,Asia,"Gujarat, India",2013,Web-based,Online marketplace with a threshold,Professional services,Specialised freelancing,"Design, software development",10k+ customers,"Workers: freelancers
Platform: It is a freelance community of hand-picked designers, developers, and digital talent. Clients can choose the service providers listed on the website to work with.",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,English,,
WorknHire,https://worknhire.com/,Country,India,20.593684,78.96288,Asia,"Noida, India",2012,Web-based,Online marketplace,Professional services,Multi-sectoral freelancing,"IT & Programming, Graphic Design, Content Writing, Data Entry, etc.",-,"Workers: freelancers
Platform: It is a freelance marketplace where freelancers can post their profiles and clients can post a job . Freelancers can send proposals to clients and clients can compare and sleect bids on price and ratings. ",Independent contractor,-,-,-,-,Free choice,-,High,Intermediate,English,,
XXRide,https://xxride.com/,Country,UAE,23.424076,53.847818,Asia,"Dubai, United Arab Emirates",2021,Location-based,Situ intermediaries,Transport,E-hailing,e-hailing,3500 active drivers at any given time,"Workers: drivers
Platform: It connects drivers and riders and takes a fixed commission of 20% of each completed trip from the driver.  Customers can choose from Select, Luxury, XXXL, Family, and Electric option.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Basic,English,,
Mrusta,https://mrusta.com/,Country,UAE,23.424076,53.847818,Asia,"Dubai, United Arab Emirates",2015,Location-based,Situ marketplace,Personal services,Personal service,"on-demand home service including laundry, AC cleaning, Handyman, Moving, etc.",-,"Workers: Home service providers
Platform: customers can choose to select a worker based on their rating, reviews and experience or let the platform match one for them. It provides both, quotes-based (an option to receive multiple quotes and negotiate price via a built-in chat technology) and on-demand booking options with fixed prices. ",Independent contractor,-,-,-,-,Free choice,-,Low,Basic,English,,
Urban company,https://www.urbancompany.com/,Country,"India, UAE, US, Australia, Singapore, Kingdom of Saudi Arabia",23.424076,53.847818,Asia,"Gurugram, India",2014,Location-based,Situ intermediaries,Personal services,Personal service,"home service including personal care, pet care, home maintainance, etc.",32k+ trained professionals,"Workers: Service providers (individuals or companies/agencies)
Platform: It provides customers with the nearest service provider options of their need and available at the requested time and date.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Gojek,https://www.gojek.com/en-id/,Regional,"Indonesia, Thailand, Vietnam, Singapore",1.352083,103.819836,Asia,"Jakarta, Indonesia",2010,Both,Situ intermediaries,Transport,Logistics/Courier; Personal service,"more than 18 different services within one app, including food delivery, taxi booking, healthcare services, and home cleaning services",2 million driver partners; 900k+ merchant partners,"Workers: drivers (two-wheelers, four-wheelers), delivery persons
Platform: workers can join in four types of driver partners- goride (ride customers on two-wheelers), gocar (ride customers on four-wheelers), gosend (deliver packages), gobox (move heavy items). Restaurant owners can become a merchant partner with GoGood to reach more potential cusomers and manage slaes reports with an online system.",Independent contractor,-,-,"Insurance (healthcare for drivers and their family)

Insurance (accidents)

Training (free training in English, business, automotives and more)

Financing: special discounts on feul, grocery and more.",Tracking,Algorithmic matching ,-,Low,Basic,English and Bahasa Indonesian,,
Sejasa,https://www.sejasa.com/,Country,Indonesia,-0.789275,113.921327,Asia,"Jakarta, Indonesia",2015,Location-based,Situ marketplace,Personal services,Personal service,"home service and personal care including cleaning, painting, message, etc.",-,"Workers: Home service providers
Platform: It recommend professional service providers to meet customers' needs and help to ensure they work with the best quality by down payment. It also provides insurance coverage for customer's home project. Customers will receive quotes and cost estimates from 1-6 professional service providers after posting their needs on the website. Then they can compare offers and check service provider's portfolios and testimonials.",Independent contractor,-,-,Insurance (for property),-,Free choice,-,Low,Basic,Indonesian,,
Kluje,https://kluje.com/en/,Regional,"Singapore, Australia, UK, HK, Indonesia, India, Malaysia, Philippines, Thailand, Vietnam, South Africa",12.879721,121.774017,Asia,Singapore,2013,Location-based,Situ marketplace,Personal services,Personal service,Home improvement,9k+ jobs posted,"Workers: home improvement service providers
Platform: It connects contractors to homeowners who need home improvement, routine maintenance or a few odd jobs around the house. Contractors have a page to list their qualifications, photos of previous work, and ratings given to them by previous users. ",Independent contractor,-,-,-,-,Free choice,-,Low,Basic,"English, Chinese and Thai",,
Sendhelper,https://www.sendhelper.com/,Country,Singapore,1.352083,103.819836,Asia,Singapore,2014,Location-based,Situ marketplace,Personal services,Personal service,"Home service such as cleaning, pet control, cooking, etc.",2.5k service partners,"Workers: home service providers
Platform: It is a marketplace that connects individuals and skilled service providers to fulfill regular home services such as cleaning, food ordering, laundry service, and handyman. There is a fixed price for cleaning, cooking, and elderly care. Workers can join by becoming a partner. Workers are pre-screened and vetted ",Independent contractor,Set by the platform,-,-,-,Hand matching,-,Low,Basic,English,,
HelperGo,https://www.helpergo.co/,Country,Hongkong & Singapore,1.352083,103.819836,Asia,Hongkong ,2015,Location-based,Situ intermediaries,Personal services,Personal service,"Home service including cleaning, babysitting, caring, etc.",5k+ servcie providers,"Workers: home service providers
Platform: it connects individuals and service providers. fees are set for an hourly rate. Workers' profiles are not open.",Independent contractor,Set by the platform,-,-,-,Hand matching,-,Low,Basic,Chinese,,
Line Man,https://lineman.line.me/,Country,Thailand,15.870032,100.992541,Asia,"Bangkok, Thailand",2020,Location-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,"Food delivery and other delivery, taxi hailing ",500k restaurants,"Workers: drivers, delivery persons, restaurants owners
Platform: It provides food and grocery ordering and delivery, taxi booking service and parcel delivery services. ",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,Thai,,
ShopeeFood,https://shopeefood.vn/,Country,"Vietnam, Indonesia, Malaysia and Thailand",4.210484,101.975766,Asia,Malaysia,2012,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food delivery,-,"Workers: drivers, delivery persons, restaurants/cafe owners
Platform: It provides food ordering and delivery. ",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,"English, Thai, Indonesian",,
Pop meals,https://www.popmeals.com.my/,Country,Malaysia and Thailand,4.210484,101.975766,Asia,Malaysia,2019,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food stall and food delivery,-,"Workers: delivery persons
Platform: It produces food and deliver food orders to customers. Delivery men (can be full-time or part-time) need a motorcycle, valid license and road tax and a smartphone. ",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,"English, Malay",,
Zomato,https://www.zomato.com/,Country,Singapore,1.352083,103.819836,Asia,Singapore,2008,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food ordering and delivery,-,"Workers: delivery persons, restaurants owners
Platform: It connects customers restaurant partners and delivery partners.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Pathao,https://pathao.com/?lang=en,Country,Bangladesh,23.684994,90.356331,Asia,"Dhaka, Bangladesh",2015,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food ordering and delivery,-,"Workers: riders, delivery men, restaurants owners
Platform: It provide e-hailing services (motorcycle and car), parcel delivery and food ordering and delivery services. ",Independent contractor,-,-,Insurance (safty and accident),Live location sharing,Algorithmic matching ,Call centre support,Low,Basic,"English, Bengali",,
Taximandu,https://taximandu.com/,Country,Nepal,28.394857,84.124008,Asia,"Kathmandu, Nepal",2019,Location-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,"E-hailing, Food ordering and delivery",3k taxis,"Workers: drivers, delivery men, restaurants owners
Platform: It provide e-hailing services , parcel delivery and food ordering and delivery services. ",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Cabtm,https://cabtm.com/,Country,Nepal,28.394857,84.124008,Asia,"kathmandu, Nepal",2022,Location-based,Situ intermediaries,Transport,E-hailing; Logistics/Courier,fare bargaining ride-hailing,-,"Workers: drviers and riders
Platform: it connects riders with drivers and access to bargain the fare.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,English,,
Shansong,https://ishansong.com/,Country,China,35.86166,104.195397,Asia,"Beijing, China",2014,Location-based,Situ intermediaries,Transport,Logistics/Courier,Delivery,2 million delivery men,"Workers: delivery men
Platform: It provides same city quick delivery service.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,Chinese,,
Lazada,https://www.lazada.com/en/,Regional,Southeast Asia,-2.2179704,115.66283,Asia,Singapore,2012,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,27000 active sellers,"Workers: sellers
Platform: e-commerce",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,Multi-languages,,
Tmall Global,https://www.tmall.hk/,Country,China,35.86166,104.195397,Asia,"Hangzhou, China",2003,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,40k dealers,"Workers: sellers
Platform: Tmall is a Chinese business-to-consumer platform. It provides dedicated warehouses for customers in China and neighboring countries to buy branded items. Rather than having to provide the entire purchasing experience, Tmall allows retailers to focus on providing the product. ",Independent contractor,-,-,Training (seller support on business development),-,Algorithmic matching ,Customer service,Medium,Intermediate,Chinese,,
Tiki,https://tiki.vn/,Country,Vietnam,14.058324,108.277199,Asia,"Ho Chi Minh City, Vietnam",2010,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,"Workers: sellers
Platform: Vendors in Vietnam can join Tiki and offer their products online. The charging schedule is wide, with fees ranging from 0.5% to 18% based on the product type. Furthermore, It is also possible for foreign enterprises to sell on Tiki by sending orders to a designated third-party logistics provider, which then handles the shipping to Vietnam and the customer on behalf of Tiki.",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,vietnamese,,
TikiNOW,https://www.tikinow.biz/,Country,Vietnam,14.058324,108.277199,Asia,"Ho Chi Minh City, Vietnam",2017,Location-based,Situ intermediaries,Transport,Logistics/Courier,Delivery,-,"Workers: delivery men
Platform: It provides same city quick delivery service, food and goods delivery for merchants.",Independent contractor,-,-,-,-,-,-,Low,Basic,vietnamese,,
Tokopedia,https://www.tokopedia.com/,Country,Indonesia,-0.789275,113.921327,Asia,"Jakarta, Indonesia",2011,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,"Workers: sellers
Platform: e-commerce",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,Indonesian,,
Qoo10,https://www.qoo10.sg/,Country,"Singapore, Malaysia, Indonesia, China",4.210484,101.975766,Asia,Singapore,2010,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,-,"Workers: sellers
Platform: Qoo10 is a global marketplace that sells a wide range of products.",Independent contractor,-,-,-,-,-,-,Medium,Intermediate,English,,
miso,http://miso.kr/,Country,South Korea,35.907757,127.766922,Asia,"Seoul, South Korea",2016,Location-based,Situ marketplace,Personal services,Personal service,Home-based services,-,"Workers: home service providers
Platform: It connects consumers with home service providers. Customers pay online, provide their own cleaning supplies, and review the cleaners after each booking. ",Independent contractor,-,-,-,-,Free choice,-,Low,Basic,Korean,,
Pickgo,https://pickgo.town/,Country,Japan,36.204824,138.252924,Asia,"Tokyo, Japan",2013,Location-based,Situ intermediaries,Transport,Logistics/Courier,Delivery services,-,"Workers: delivery persons
Platform: It is a delivery platform that connects people who want their packages delivered to delivery partners. There are three types of partners: motorbike/bicycle partner, light cargo partner, general freight fowarding company partner. ",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,Japanese,,
Menu (KDDI),https://news.kddi.com/,Country,Japan,36.204824,138.252924,Asia,"Tokyo, Japan",2018,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food delivery,60k+ member stores,"Workers: delivery persons
Platform: It provides food delivery services to customers",Independent contractor,-,-,-,-,Algorithmic matching ,-,Low,Basic,Japanese & English,,
JD,https://global.jd.com/,Country,China,35.86166,104.195397,Asia,"Beijing, China",2004,Web-based,"E-commerce
",Commerce,Online shopping,Online marketplace for all goods,200k+ sellers,"Workers: merchants
Platform: sellers can join JD as POP merchants (third-party) merchants, self-operated merchants (suppliers of JD and JD takes care of the delivery), pharmacy and JD industrial partners.",Independent contractor,-,-,-,-,Algorithmic matching ,-,Medium,Intermediate,Chinese,,
Swiggy,https://www.swiggy.com/,Country,India,20.593684,78.96288,Asia,"Bengaluru, India",2014,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food delivery,in 500 Indian cities,"Workers: restaurants owners, riders
platform: it provide online food ordering and delivery services. People can join as a rider partner and have the flexibility of determining when and how long to work. The platform provides insurance of up to Rs 12 lakhs for riders and their family, skill development program for riders and their children, easy personal loans and vehicle maintenance support.",Independent contractor,-,-,Insurance (healthcare for drivers and their family),Tracking,Algorithmic matching ,-,Low,Basic,English,,
Cheetay,https://www.cheetay.pk/,Country,Pakistan,30.375321,69.345116,Asia,"Punjab, Pakistan",2015,Location-based,Situ intermediaries,Transport,Logistics/Courier,Food delivery,3k vendors,"Workers: restaurants owners, delivery persons
platform: it provide online food ordering and food and medicine delivery services. ",Independent contractor,-,-,-,Tracking,Algorithmic matching ,-,Low,Basic,English,,
swvl,https://www.swvl.com/,Regional,"Egypt, Europe, Jordan, Kenya, Latin America, Pakistan, Saudi Arabia",23.885942,45.079162,Asia,"Dubai, United Arab Emirates",2017,Location-based,Situ intermediaries,Transport,E-hailing,e-hailing,20k+ drivers,"Workers: drivers
Platform: It connects drivers with passengers offering intercity, intracity, B2B and B2G transportation products and services. Drivers are regarded as 'captain'.",Independent contractor,-,-,-,Tracking,Algorithmic matching ,-,Medium,Basic,"English, arabic",,
